,시험명,전체,국어,영어,수학,과학,사회,역사,평균
0,AI진단평가,173,22.0,65.0,41.0,30.0,15.0,,34.6
1,AI진단평가,47,47.0,0.0,0.0,0.0,0.0,,9.4
2,AI진단평가,68,68.0,0.0,0.0,0.0,0.0,,13.6
3,AI진단평가,324,68.0,86.0,57.0,15.0,53.0,45.0,54.0
4,AI진단평가,312,93.0,93.0,57.0,46.0,23.0,,62.4
5,AI진단평가,213,86.0,93.0,34.0,0.0,0.0,,42.6
6,AI진단평가,224,0.0,61.0,46.0,38.0,79.0,,44.8
7,AI진단평가,285,93.0,58.0,51.0,53.0,30.0,,57.0
8,AI진단평가,342,100.0,86.0,66.0,,90.0,,85.5
9,AI진단평가,336,86.0,100.0,57.0,45.0,48.0,,67.2
10,AI진단평가,308,79.0,93.0,46.0,30.0,45.0,15.0,51.333333333333336
11,AI진단평가,308,61.0,68.0,41.0,100.0,38.0,,61.6
12,AI진단평가,373,100.0,86.0,57.0,48.0,82.0,,74.6
13,AI진단평가,460,93.0,100.0,48.0,56.0,63.0,100.0,76.66666666666667
14,AI진단평가,193,100.0,93.0,0.0,0.0,0.0,,38.6
15,AI진단평가,328,72.0,100.0,100.0,,56.0,,82.0
16,AI진단평가,275,86.0,54.0,60.0,45.0,30.0,,55.0
17,AI진단평가,158,65.0,75.0,18.0,,0.0,,39.5
18,AI진단평가,229,61.0,93.0,14.0,,0.0,61.0,45.8
19,AI진단평가,316,43.0,93.0,27.0,100.0,53.0,,63.2
20,AI진단평가,158,72.0,86.0,0.0,0.0,0.0,,31.6
21,AI진단평가,262,93.0,93.0,46.0,0.0,30.0,,52.4
22,AI진단평가,350,93.0,93.0,63.0,45.0,56.0,,70.0
23,AI진단평가,472,100.0,100.0,88.0,61.0,90.0,33.0,78.66666666666667
24,AI진단평가,323,86.0,93.0,83.0,,61.0,,80.75
25,AI진단평가,355,68.0,100.0,41.0,79.0,67.0,,71.0
26,AI진단평가,129,68.0,61.0,0.0,0.0,0.0,,25.8
27,AI진단평가,470,86.0,100.0,94.0,90.0,100.0,,94.0
28,AI진단평가,380,93.0,100.0,55.0,79.0,53.0,,76.0
29,AI진단평가,193,100.0,93.0,0.0,0.0,0.0,,38.6
30,AI진단평가,255,72.0,93.0,37.0,53.0,0.0,,51.0
31,AI진단평가,313,93.0,75.0,46.0,30.0,69.0,,62.6
32,AI진단평가,446,93.0,100.0,65.0,53.0,45.0,90.0,74.33333333333333
33,AI진단평가,479,86.0,79.0,57.0,67.0,100.0,90.0,79.83333333333333
34,AI진단평가,331,86.0,86.0,37.0,69.0,53.0,,66.2
35,AI진단평가,123,29.0,79.0,0.0,,15.0,,30.75
36,AI진단평가,269,86.0,93.0,37.0,30.0,23.0,,53.8
37,AI진단평가,263,100.0,93.0,9.0,,61.0,,65.75
38,AI진단평가,336,65.0,93.0,46.0,71.0,61.0,,67.2
39,AI진단평가,345,86.0,86.0,66.0,61.0,46.0,,69.0
40,AI진단평가,326,72.0,93.0,63.0,45.0,53.0,,65.2
41,AI진단평가,272,79.0,86.0,36.0,,23.0,48.0,54.4
42,AI진단평가,494,100.0,100.0,94.0,100.0,100.0,,98.8
43,AI진단평가,284,61.0,79.0,9.0,53.0,82.0,,56.8
44,AI진단평가,249,93.0,79.0,77.0,0.0,0.0,0.0,41.5
45,AI진단평가,201,40.0,79.0,52.0,0.0,30.0,0.0,33.5
46,AI진단평가,359,93.0,93.0,82.0,38.0,53.0,,71.8
47,AI진단평가,219,47.0,51.0,46.0,30.0,30.0,15.0,36.5
48,AI진단평가,302,93.0,72.0,46.0,38.0,15.0,38.0,50.333333333333336
49,AI진단평가,154,75.0,79.0,0.0,,0.0,,38.5
50,AI진단평가,364,79.0,93.0,43.0,48.0,45.0,56.0,60.66666666666666
51,AI진단평가,372,100.0,93.0,56.0,33.0,90.0,,74.4
52,AI진단평가,303,93.0,100.0,57.0,,53.0,,75.75
