,응시기간,시험명,학년, 응시일자,전체,국어,영어,수학,과학,사회,역사
0,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-23 00:00:00,338,68,93.0,71.0,,53.0,53.0
1,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-23 00:00:00,50,18,0.0,9.0,,23.0,
2,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-23 00:00:00,65,29,36.0,,,,
3,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-24 00:00:00,276,75,72.0,76.0,,38.0,15.0
4,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-26 00:00:00,29,29,0.0,0.0,,0.0,0.0
5,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-26 00:00:00,301,93,65.0,82.0,,61.0,
6,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-27 00:00:00,158,79,29.0,27.0,,0.0,23.0
7,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-27 00:00:00,241,43,47.0,42.0,,53.0,56.0
8,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-27 00:00:00,358,65,93.0,100.0,,100.0,
9,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-27 00:00:00,251,93,86.0,42.0,15.0,0.0,15.0
10,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-28 00:00:00,522,93,93.0,100.0,90.0,79.0,67.0
11,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-28 00:00:00,404,75,72.0,88.0,,79.0,90.0
12,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-28 00:00:00,321,54,18.0,94.0,53.0,56.0,46.0
13,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-28 00:00:00,92,22,47.0,0.0,0.0,0.0,23.0
14,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-28 00:00:00,307,29,100.0,40.0,,38.0,100.0
15,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-28 00:00:00,323,68,54.0,40.0,,100.0,61.0
16,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-28 00:00:00,314,36,72.0,74.0,,61.0,71.0
17,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-29 00:00:00,522,100,100.0,100.0,61.0,71.0,90.0
18,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-29 00:00:00,318,61,93.0,88.0,,46.0,30.0
19,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-29 00:00:00,160,61,11.0,32.0,,56.0,0.0
20,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-29 00:00:00,409,93,93.0,88.0,,90.0,45.0
21,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-29 00:00:00,199,61,22.0,32.0,,38.0,46.0
22,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-29 00:00:00,180,68,36.0,23.0,30.0,23.0,0.0
23,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-29 00:00:00,61,61,,,,,
24,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-29 00:00:00,50,50,,,,,
25,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-29 00:00:00,358,86,68.0,46.0,,79.0,79.0
26,2021. 12 ~2022. 12,AI진단평가,중2,2021-12-29 00:00:00,230,51,58.0,37.0,,46.0,38.0
